#,state,state_code,district,district_code,sex_ratio,wom_pop1549_2019,pw_registered_anc,live_births,ch_pop04_2019,insbirth,ch_stunt_dist_2016,ch_stunt_dist_2019,Stunting_N_dist_2019,ch_waste_dist_2016,ch_waste_dist_2019,Wasting_N_dist_2019,ch_wastesev_dist_2016,ch_wastesev_dist_2019,SevereWasting_N_dist_2019,ch_uweight_dist_2016,ch_uweight_dist_2019,Underweight_N_dist_2019,ch_over_dist_2016,ch_over_dist_2019,Overweight_N_dist_2019,ch_anemic_dist_2016,ch_anemic_dist_2019,Anemia_ch_N_dist_2019,ch_pop04_2019_dist_2019,bmi_f_lowbmiout_dist_2016,bmi_f_lowbmiout_dist_2019,WomenUnderweight_N_dist_2019,bmi_f_highbmi_dist_2016,bmi_f_highbmi_dist_2019,WomenOver_N_dist_2019,hypertension_women_dist_2019,WomenHypertension_N_dist_2019,diabetes_women_dist_2019,WomenDiabetes_N_dist_2019,hb_f_anemia_dist_2016,hb_f_anemia_dist_2019,Anemia_nonpreg_N_dist_2019,preg_anemia_dist_2016,preg_anemia_dist_2019,Anemia_preg_N_dist_2019,pregwom_2019_dist_2019,wom_pop1549_2019_dist_2019,take100_IFA_preg_dist_2016,take100_IFA_preg_dist_2019,ifa_180_dist_2016,ifa_180_dist_2019,iycf_earlybf35_dist_2016,iycf_earlybf35_dist_2019,iycf_exclbf0_dist_2016,iycf_exclbf0_dist_2019,n_iycf_introfood_dist_2016,n_iycf_introfood_dist_2019,n_iycf_minaccdiet0_dist_2016,n_iycf_minaccdiet0_dist_2019,school10yr_women_dist_2016,school10yr_women_dist_2019,wo2024_mar18_dist_2016,wo2024_mar18_dist_2019,wom_pregmothers_1519_dist_2016,wom_pregmothers_1519_dist_2019,imp_latrine_dist_2016,imp_latrine_dist_2019,imp_drinkw_dist_2016,imp_drinkw_dist_2019,hh_healthins_dist_2016,hh_healthins_dist_2019,iod_salt_dist_2016,iod_salt_dist_2019,mcp_rec_dist_2016,mcp_rec_dist_2019,anc_firsttri_dist_2016,anc_firsttri_dist_2019,anc4_dist_2016,anc4_dist_2019,protect_tetanus_dist_2016,protect_tetanus_dist_2019,IFA_rec_dist_2019,deworm_preg_dist_2019,inst_birth_dist_2016,inst_birth_dist_2019,jsy_rec1_dist_2019,ba_healthpro_dist_2016,ba_healthpro_dist_2019,mopostnat_2day_hp_dist_2016,mopostnat_2day_hp_dist_2019,chpostnat_2day_hp_dist_2019,full_immun1_dist_2016,full_immun1_dist_2019,chvitA_6m1_dist_2016,chvitA_6m1_dist_2019,ch_ors_dist_2016,ch_ors_dist_2019,ch_zinc_dist_2016,ch_zinc_dist_2019,ari_treat_dist_2016,ari_treat_dist_2019
1,Andaman And Nicobar Islands,35,Nicobars,638,989,12607.78525,525,362,3368.305302,283,20.29,21.59,727,7.43,15.69,528,2.33,7.76,261,10.48,24.6,829,4.75,1.49,50,50.51,37.67,1140,3368.305302,4.51,8.18,1031,18.7,39.11,4931,35.36,4458,13.05,1645,54.51,38.36,4836,,,,525,12607.78525,19.02,72.57,3,43.91,34.91,55.43,,,,,8.98,18.71,43.65,53.53,8.25,11.36,3.84,1.77,85.87,83.45,99.83,98.81,4.26,2.65,99.7,99.42,100,97.86,61.97,62.77,64.85,71.65,92.44,78.01,,,96.11,97.81,,97.95,98.6,74.03,85.09,92.53,45.51,64.21,79.23,94.92,,,,,,85.73
2,Andaman And Nicobar Islands,35,North & Middle Andaman,639,984,39306.78298,1159,496,8654.948618,469,32.51,27.02,2339,31.66,26.97,2334,18.47,8.31,719,33.47,42.8,3704,2.13,0.83,72,47.34,30.38,2362,8654.948618,14.46,8.55,3361,29.95,35.89,14107,27.4,10770,16.72,6572,65.13,62.46,24551,51.49,,,1159,39306.78298,45.49,83.65,27.58,24.08,43.85,27.32,,,,,20.68,5.92,39.21,41.03,24.65,15.38,6.47,3.83,49.89,86.38,90.28,92.2,3.17,2.07,99.41,99.86,99.43,99.23,83.67,74.46,95.24,79.19,96.21,91.11,,,94.96,97.7,,95.49,98.33,78.29,92.53,94.28,89.08,,66.93,89.58,,,,,,
3,Andaman And Nicobar Islands,35,South Andaman,640,979,92642.85679,3076,2911,17971.24922,2886,20.08,21.11,3794,15.61,12.62,2268,3.96,3.46,622,18.47,17.43,3132,3.03,7.21,1296,49.59,43.35,6998,17971.24922,13.42,10,9264,33.65,39.01,36140,22.95,21262,18.41,17056,67.01,57.6,53362,,,,3076,92642.85679,67.82,80.96,39.33,61.93,41.72,51.13,,,,,11.88,23.49,53.21,57.5,14.09,17.06,3.93,2.81,84.43,89.33,96.42,97.94,6.81,1.15,99.22,99.67,96.69,98.91,62.48,79.4,93.4,85.94,89.91,92.05,,,96.99,99.46,,97.89,96.86,73.74,88.13,89.75,69.11,76.29,79.61,83.96,,,,,78.99,77.34
4,Andhra Pradesh,28,Anantapur,553,935,1201407.529,71540,69808,313729.3699,71090,40.25,35.96,112817,15.22,19.32,60613,4.46,4.02,12612,39.28,40.59,127343,0.55,0.3,941,52.96,55.75,157117,313729.3699,20.19,21.85,262508,26.47,29.33,352373,23.41,281250,14.2,170600,52.79,50.3,604308,,54.87,39254,71540,1201407.529,59.58,71.96,32.27,38.54,51.28,54.69,,71.58,,,16.37,2.91,30.81,31.25,28.98,37.29,5.21,13.6,47.51,71.25,99.4,98.8,76.51,73.24,77.82,88.6,93.54,100,86.24,80.34,77.48,66.61,88.89,97.52,94.3,13.2,89.94,94.7,36.8,89.12,98.33,80.68,89.08,87.3,76.26,81.78,68.75,75.72,,,,,,84.05
5,Andhra Pradesh,28,Chittoor,554,935,1239526.385,71566,63403,318684.247,63467,31.37,27.06,86236,18.08,14.82,47229,4.57,6.25,19918,32.4,27.91,88945,0,0.5,1593,46.62,54.87,157079,318684.247,21.01,20.13,249517,28.54,33.41,414126,22.73,281744,17.15,212579,48.37,51.77,641703,58.85,52.72,37730,71566,1239526.385,64.12,71.66,30.54,43.68,45.61,38.71,,65.5,,,4.39,5.96,38.99,40.33,26.6,28.06,14.72,19.73,40.92,74.62,99.79,98.46,74.79,70.66,83.75,85.53,90.68,98.18,72.04,80.25,70.41,65.28,94.67,97.79,95.4,17.9,94.02,97.1,35.5,87.89,97.55,82.04,93.78,95.2,67.64,66.55,82.57,76.92,,,,,,84.37
6,Andhra Pradesh,28,East Godavari,545,959,1603212.167,78357,70648,372307.7593,70349,27.72,23.11,86040,15.3,14.33,53352,2.96,3.83,14259,27.13,22.35,83211,2.65,3.42,12733,63.14,66.76,223276,372307.7593,15.9,10.2,163528,36.36,44.36,711185,29.01,465092,21.71,348057,64.89,63.24,1013871,56.18,,,78357,1603212.167,56.61,62.66,24.29,32.25,42.9,51.28,,,,,6.74,10.21,35.46,43.21,31.59,25.99,12.84,6.22,58.38,77.73,97.66,97.88,70.91,66.36,82.28,81.21,90.77,91.43,85.53,76.33,77.2,50.95,94.62,86.96,94.1,24.8,96.88,96.63,18.1,91.7,89.85,82.97,91.88,93.49,60.29,58.95,87.31,81.4,52.28,72.87,13.23,23.04,,63.69
7,Andhra Pradesh,28,Guntur,548,977,1510287.529,76818,73442,351063.1711,71744,22.09,23.82,83623,17.87,17.81,62524,9.77,8.07,28331,29.09,26.88,94366,3.91,3.61,12673,68.06,59.28,186946,351063.1711,11.32,9.61,145139,45.1,46.39,700622,25.83,390107,22.69,342684,58.96,59.82,903454,33.51,51.94,39899,76818,1510287.529,36.66,75.13,23.87,42.49,44.3,69.28,,,,,10.94,11.19,30.05,32.61,38.94,35.37,13.62,20.7,65,83.44,98.93,99.25,74.46,71.08,82.53,85.83,93.88,96.04,82.33,89.41,68.33,62.47,94.58,90.25,96.9,29.8,97.48,98.61,22.7,95.79,95.54,80.84,93.99,97.19,61.7,76.17,89.46,80.16,,,,,,
8,Andhra Pradesh,28,Krishna,547,956,1401557.087,70626,61001,310517.2852,61021,22.58,29.84,92658,20.67,14.25,44249,5.05,5.21,16178,27.68,21.13,65612,1.82,4.23,13135,58.14,65.7,183263,310517.2852,13.52,10.47,146743,45.54,40.56,568472,24.02,336654,23.32,326843,59.66,60.43,846961,,,,70626,1401557.087,70.09,56.2,40.61,39.2,37.72,29.31,,,,,6.15,23.41,38.84,46.17,31.37,25.32,8.85,9.6,64.43,79.14,92.62,94.38,71.5,68.08,90.46,87.53,96.28,96.42,89,81.49,88.18,73.3,99,95.84,97.8,24.4,96.42,98.93,13.9,95.1,98.03,92.48,88.33,90.28,74.11,89.96,61.45,80.95,,,,,,45.8
9,Andhra Pradesh,28,Kurnool,552,926,1193304.471,81858,76583,355811.3808,76916,44.11,50.53,179791,18.75,16.72,59492,4.68,5.96,21206,37.54,46.28,164670,0.56,1.13,4021,54.5,70.75,226136,355811.3808,21.55,20.64,246298,24.88,29.01,346178,26.99,322073,15.05,179592,54.63,58.31,695816,51.8,67.8,55500,81858,1193304.471,52.85,69.84,25.88,43.34,32.01,67.15,88.93,78.09,,,1.41,9.62,24.86,33.38,43.48,36.94,12.88,12.37,52.45,73.48,98.57,97.88,75.38,73.32,74.69,70.41,93.09,95.55,80.71,78.55,71.66,74.25,94.36,91.27,89.8,18.6,75.47,88.52,20.6,86.15,90.55,67,87.78,87.29,66.12,67.04,78.32,79.05,,,,,,73.11
10,Andhra Pradesh,28,Prakasam,549,927,994335.1813,56045,47735,265618.017,47608,28.22,22.56,59923,15.32,8.73,23188,3.59,3.32,8819,30.27,24.65,65475,0.83,5.13,13626,56.34,62.61,149391,265618.017,16.93,14.39,143085,32.45,39.48,392564,27.83,276723,23.2,230686,57.66,60.62,602766,57.87,,,56045,994335.1813,48.23,69.03,33.75,51.78,30.87,73.82,,,,,11.3,13.44,28.51,34.54,46.1,37.28,17.09,16.42,53.74,78.43,94.05,98.57,75.32,67.58,76.39,85.46,86.94,92.84,73.53,84.74,73.67,73.4,96.99,92.23,93.8,23.1,91.4,97.4,7.2,95.72,97.92,75.87,90.1,90.33,63.97,51.93,78.47,79.93,56.87,,43.22,,66.16,64.88
11,Andhra Pradesh,28,Sri Potti Sriramulu Nello,550,950,910975.611,47128,41246,215475.9767,41160,29.44,29.22,62962,16.9,17.18,37019,4.33,6.93,14932,28.71,27.84,59989,1.52,0.52,1120,50.41,67.45,130558,215475.9767,16.99,15.22,138650,35.04,39.53,360109,22.96,209160,21.8,198593,59.08,59.58,542759,59.16,,,47128,910975.611,67.28,76.11,30.62,51.75,29.28,39.42,71.68,54.68,,,8.68,6.87,32.72,38.67,38.65,23.84,11.75,14.87,54.32,81.75,95.18,95.63,72.99,72.27,82.21,85.61,92.47,92.82,87.66,88.95,85.79,72.95,95.47,94.16,92.5,40.5,96.03,97,16.6,98.39,100,83.19,95.47,94.25,47.71,65.27,71.65,76.96,,,,,,72.34
12,Andhra Pradesh,28,Srikakulam,542,960,811056.388,43831,40501,197383.8377,39776,27.96,19.66,38806,15.55,19.51,38510,3.85,7.36,14527,28.69,21.44,42319,1,4.48,8843,70.57,59.61,105695,197383.8377,20.47,13.76,111601,24.4,27.18,220445,22.12,179406,17.44,141448,72.06,62.82,509506,,,,43831,811056.388,65.69,67.5,37.65,35.34,27.47,42.77,,,,,3.84,16.14,34.65,42.51,23.45,25.4,11.74,5.46,33.33,71.58,81.97,87.73,82.17,75.63,79.96,76.54,96.85,100,82.24,79.69,72.73,78.41,99.44,94.43,98.8,39.8,91.2,97.94,27.1,97.58,96.38,89.46,90.81,97.71,59.19,82.79,93.53,69.56,,,,,88.07,79.74
